7	8	15	
74	20	35	
20	35	49	
89	37	75	
21	47	11	

30	37	89	
100	37	89	
56	89	37	
49	65	92	
65	92	49	
84	72	96	
49	65	92	
91	50	27	
92	65	49	
28	9	3	
29	62	95	
45	65	92	
8	15	94	
36	12	86	
100	37	89	
23	37	89	
33	80	27	
18	38	10	
35	20	49	
19	1	22	
84	72	96	
52	76	86	
19	1	22	
28	9	3	
27	91	50	
12	36	86	
66	54	41	
27	91	50	
68	95	62	
84	72	96	
40	80	27	
45	65	92	
51	58	12	
95	62	29	
57	27	91	
57	27	91	
65	92	49	
86	76	77	
43	100	37	
5	62	29	
50	91	27	
56	89	37	
13	38	10	
52	76	86	
94	15	8	
26	80	27	
35	20	49	
36	12	86	
29	62	95	
3	45	65	
37	89	75	
37	89	75	

8	15	94	
85	56	89	
86	76	77	
58	12	36	

60	80	27	
45	65	92	
27	91	50	
77	86	76	
49	65	92	
39	2	47	
93	57	27	
16	91	50	
7	8	15	
43	100	37	
37	89	75	
84	72	96	
91	50	27	
34	95	62	
49	65	92	
23	37	89	
3	45	65	
35	20	49	
13	38	10	
35	20	49	
47	11	77	
83	63	82	
6	33	80	
96	100	37	
35	20	49	

3	45	65	
76	86	77	
83	63	82	
92	65	49	
47	11	77	
12	36	86	
16	91	50	
14	45	65	
30	37	89	
3	45	65	
